index,comments,score
0,外形外观：漂亮完美，外观硬朗，很喜欢\n屏幕音效：屏幕完美，显示特别清晰，色彩艳丽，看了这块屏幕，再看其他手机的屏幕瞬间失色\n拍照效果：拍照很好，对焦快，随手一拍都是样片\n运行速度：运行速度快，流畅，跟手，指哪打哪\n待机时间：足够一天使用了\n包装完好，送货速度快，点赞,5
0,从2012年开始入手三星的NOTE3，到三星的NOTE8系列手机，再到现在2022年购买的三星Galaxy Note 20Ultra，使用整整十年的三星NOTE系列手机，使用有感情，听说三星Galaxy Note 20Ultra是NOTE系列的绝版，有点可惜，所以必须要好好珍藏， Galaxy Note 20Ultra国行 全面屏，很震撼，显示效果非常不错，支持120Hz刷效率，体验流畅，相机最高支持50倍变焦，整体机身很轻薄，4500毫安大电池，用一天没问题，充电速度也还不错，随机赠送的25瓦充电器，效果还是不错的，送的AKG耳机，效果非常不错的，本人非常的喜欢。,5
0,第一眼便是猛烈地关注出厂日期！\n我只能感叹：商家良心了！十一月买到十月生产的机子，新鲜、热辣！感谢了！\n\n紧接着映入眼帘的便是图一那个&ldquo;小圆胶球串串&rdquo;，乍一看以为三星赐我一根成人用品关怀用户，仔细研之&hellip;&hellip;原来我误会了，是耳机不同尺寸的备用胶套，足为厂家的贴心与周道。\n\n从三星A7开始便被其优于其他品牌的优良品质和稳定性捕获了来自我奉献的用户忠诚。随着生活水平的提高，要用就用好品牌中的顶级机型，于是笃定节食省钱，愣是把当年机皇Note9拿下！之后的故事里主角全是三星Note家族机型。\n\n当今时代鹤立鸡群的顶级屏幕+绝佳拍摄实力+卓越运行性能+上乘做工品质+强劲品牌号召力，是我依然拥护三星Note系列手机的原动力！\n\n在三星助力工作、生活、交际、学习、娱乐的日与夜里：\n\n色彩明艳，显示高清的巨（屏）幕，让我无论观看电影还是新闻视频都拥有沉浸式的视觉享受（横向全屏）！随环境光度自动调节亮度的贴心功能再有防蓝光护眼的开启，一同爱护用户眼睛健康的同时节能续航。除此之外对高清图照的细节呈现亦诚实彻底。屏幕，就是这款三星旗舰的最主打，也是她长年征战手机市场，豪夺帅印的杀手锏！\n\n摄像头，是她第二把利,5
0,刃！广角、光学防抖、亿级分辨率、多倍变焦、充足闪光度、感应器&hellip;&hellip;一樽诚意满满的拍摄武器牢牢地嵌在细薄的机身里，时刻听候着用户主人的随时调配出动，此乃记录美好生活之得力助手！事实上，最见功力之处是夜景拍摄实效，敢与水果叫板试比高！底气满满！信心十足！\n性能让用者难以挑剔，即使不是骁龙888也足以媲美之的实际运行效果。点开软件到完成操作，如果慢了那是动作实施者的思考与判断和选择需要时间，机子的闪电般响应和运行告诉你：&ldquo;你只需要问清楚自己想要干什么，其他的尽管交给我，不容质疑我的效率喔！&rdquo;\n做工、品质、外观一齐讲。无可挑剔的细节做工，美仑美奂的大气外观，十年如一日地稳定牢靠品质！犹如摩托车界的本田、汽车界的奥迪&hellip;&hellip;注重内在品质和外在观感的内外兼修！拿起来不愿释手；看起来舒心；用起来安心。这不仅是一款手机，还是一樽结晶着人类智慧的艺术品！\n品牌之号召。一个品牌从出生就高耸手机品牌之林，至今仍然一如既往地引领手机潮流，永不止步地创新，这本原来就是现象级的传奇！科技、创新、品质、时尚&hellip;&hellip;一系列光辉特质聚集一身让三星这个手机品牌广泛、深远地获得人心，她的号召之力！\n我的感受如是，那么你的呢？,5
0,非常非常满意，本来拍了mate40pro的，想了一下午，还是买了note。特意选的黑色，整体感非常强，打开包装确实惊艳，屏幕性能简直就是宇宙最强！还没下手的亲，抓住机会哦，现在的价格很便宜哦！估计清完货，就没了！,5
0,外形外观：刚硬俊朗的外形，很是讨人喜欢。\n屏幕音效：屏幕显示清晰细腻，字体锐利，亮度很好。\n拍照效果：非常好，我很喜欢\n运行速度：日常用绰绰有余\n待机时间：新机有待观察\n其他特色：整体性能外观非常均衡。,5
0,能在2022年初选择购买了20年底发售的note20u自然是有非常多的考虑了。从s8到s10＋再到note20u，入坑三星不知不觉已经有五年时间了。\n外形外观：note20u的设计具有很大的前卫度，3k屏幕和120赫兹高刷配上6.9超级mled屏幕真的吊打22年目前的许多旗舰手机!\n屏幕音效：双扬声器加上杜比音效，三款三星旗舰的外放效果好毫不夸张的说不输市面上的小型音响。\n拍照效果：50倍的变焦，1亿像素主镜头，真的可以当望远镜去使用，任何拍照场景都没有大问题，相比之前1200w像素有了极大的提升。\n运行速度：骁龙865＋搭配12gb运存不输888发热旗舰，甚至更加的省电，不用担心卡顿等问题。\n其他特色：note系列搭配的spen也是在相比较苹果12pro后选择购买这款手机的原因，在手机市场千篇一律的外观和性能堆砌的情况下，s pen内置笔在给你带来乐趣的同时，也让手机充满了与众不同!\n下一个五年，期待三星，相伴三星!,5
0,用了一个月给我整体感受非常不错，外观辨识度很高，颜值符合我的审美，材质顺滑不留指纹，屏幕显示真的很好，声效也还可以，spen简直太好用了，机身很薄，质感很好，夜间拍照效果令人惊讶。优点很多，绝对是值得入手！\n缺点嘛，就是掉电太快，对于手机依赖症和电量焦虑症患者不太友好，中度使用一天充电一到两次。手机尺寸略大，单手不便操作，女生慎选！,5
0,当我收到手机开箱那一瞬间就惊呼：&ldquo;哇塞，这是什么神仙颜色！&rdquo;我之前常用的就是红色、黑色或者绿色的手机，而note20 Ultra迷雾金色真的一下子就抓住了我的心，就像女孩子面对各种眼影盘一样无法抗拒。优质的中性色调，时尚经典。简约设计下，低调的雾面光泽惊艳奢华，还增加了金属边框，低调的高级感从细节处呈现！爱了爱了！这款手机无愧是颜值控的收割机，除了颜值之外，三星的屏幕也超级惊艳的，妥妥的业内第一。另外还有1.081像素。AI一键多拍，专业视频拍摄，这不就是为爱美的我而生的嘛，嘿嘿！,5
0,总体很满意，运行速度很快，充电也很快，上网也很快，解锁也快，屏幕分辨率较高，摄像头效果也不错，很满意，美中不足的是手机整体厚度较厚，不过手机都是越来越费电，现在的手机没有特别薄的了。原包装还带耳机和硅胶套。,5
1,外形外观：很漂亮，对比了小米，华为，苹果，还是没这款好看 一眼就喜欢上了\n屏幕音效：很清爽\n拍照效果：比苹果好的了\n运行速度：很快,5
1,本人使用了好几代的note系列了，这是可能是最后一代，手机确实太大了，比我的小note***很多，单手操作根本实现不了，屏幕完美，照相完美，性能完全够用，值得购买，官方的原机膜要是有卖的就更好了。,5
1,作为一个资深的三星粉丝，对三星旗舰机有着无比信任感，刚刚发售的note20Ultra，你迫不及待入手了，我选择的是迷雾金配色，算是标志性配色了，它带有一些微妙的奢华感，却像是从迷雾中溜出几分潇洒，雾面的质感时尚经典，跟我气质很搭。搭载的高通骁龙最新的旗舰处理器865+，拥有超高速5G和WLAN优化器，配合第2代6.9英寸动态AMOLED屏幕，玩游戏的畅快感是其他手机不能比拟，这也是我热衷三星原因之一。另外还有超级加速充电技术，4500毫安的电池，30分钟即可充电超过50%，这续航力可以无忧尽情畅玩了！,5
1,三星Galaxy Note 20Ultra 国行\n全面屏，很震撼，显示效果非常不错，支持120Hz刷效率，体验流畅，相机最高支持50倍变焦，整体机身很轻薄，4500毫安大电池，用一天没问题，充电速度也还不错，随机赠送的25瓦充电器，效果还是不错的，送的AKG耳机，效果非常不错的！,5
1,外形外观：外形外观：本来以为6.9的屏幕会很大，拿在手里手感非常好， \n屏幕音效：屏幕绝对一流，\n拍照效果：拍照还可以\n运行速度：不玩游戏，速度没有要求，应该够用了\n待机时间：一天是没有问题，\n其他特色：从note10开始看三星，现在终于买了，说实话屏下子纹虽然技术高，其实还没有原来的iQOO锁屏键上带子纹好用，软件也不怎么样，买三星就是屏幕和做工也值了，手写笔看着很酷，也没有什么用，可能还不会这样的功能。也很满意。,5
1,很漂亮，不愧是机皇，尤其是屏幕显示效果顶级手感也很好喜欢曲面屏的可以下手，价格也合适，再不买就要停产了！,5
1,手机非常好，我是夜晚12点多下单的，早上10点快递员就打电话了。真快啊。绝对正品，非常好用。因为我有一个S20u所以导入资料很方便，根据提示，连好数据线10多分钟就全部导入和设置完成,5
1,太漂亮了，用三星手机?，不用讲，肯定是奔着它的质量来的。凡是买高档的三星手机，都是用过才买的。所以说，只说一句，我买啦。,5
1,一直都在用三星的手机，之前把三星note8作为主力机，A9s作为备用机，已经用了三年，本来想这两款手机还能担当，但是note8不小心摔坏屏幕一角，于是觉得换一部主力机，挑选过来感觉三星note20U很合适，很喜欢note方正稳重的外形，三星手机的外表颜值很高，屏幕更是毋庸置疑，很快下单，京东发货一如既往地快，通过在三星官网上查询激活日期，表明是新手机，而且是2022年3月越南生产，新手机的系统和性能也是自己所熟悉，上手很快，通过S助手很快就把之前手机的所有传送到新手机了，不错的手机,5
1,从s10+升到note20u，S10+用了两年多了，它经历了它不应该经历的，是时候退休了！颜值这块非常喜欢，方方正正的，给人刚硬的感觉屏幕一直是买手机的首选项，三星在做屏幕这方面确实很厉害，SPEN 才是 note 系列的精髓，这次换一下 N 系感受一下865p 的处理器配合12+256用起来非常流畅，也没有发热严重情况发生电池只要不玩游戏，目前一天一冲没问题随手机带充电器、数据线、耳机、保护壳相对来说还算良心,5
2,12月份出厂，崭新的很。屏幕很大，非常艳丽，方方正正，完全满足我的审美，速度飞快。真是费电啊。关掉了5G，手机设成普通刷新率，省电模式，不玩游戏，不怎么看视频，中度使用，最多16个小时。,5
2,手机已购买一个星期多，没发现什么不良问题。作的三星的忠诚用户，从用三星note2到3然后到4再到三星s10+和note9。现在购买note20ultra采用高通865＋处理器，12G的内存，在有5G网络下使用，流畅超快。2K屏的分辨率，6.9寸的大屏，4500mah的电池，重度使用能够一天，属正常现象。拍照效果离4米的8寸屏幕的数字拍照测试一下对比，比三星s20ulera和苹果12promax拍照出来的图片字数要清晰，拍照效果特别强。其他的三星强项解锁指母、人脸还有音效，特别是那支其特的手写笔就不多说了。总之三星note20ultr是最强的手机性价比高，21大贵。,5
2,资深水果人，但是早一年前就想买它了，我是既害怕买三星又很爱它的颜（好吧我是颜控），9年前买了人生第一个三星&mdash;&mdash;note3，塑料感让我使用了一个月就劝退了；之后又是s6eg那是我用的最久的一次，第一次感受到双曲面屏的视觉冲击感，感受到了啥叫夜拍！！最近几天看评测又勾起我的购买欲望；看了各种评测做足了功课才打算下手的；优势与劣势都很清楚，还是耐不住颜值！！（好吧，我真的是个颜控）四四方方真的是这个充满圆角世界的直角&ldquo;异类&rdquo;直接戳中了我的全部审美！买来给它的定义就是用来当备用机的，上手以后手感真的超棒！！比我常用的13promax轻了不少！！！太顺手了！！865+目前觉得没啥大问题！总结：oneui可能没你想象的那么好那么全面好，毕竟国内大厂深度挖掘国人喜好定制的UI真的一个比一个牛！一个比一个讨喜！但是我觉得oneUI很干净，至少系统自带广告真的很少。spen是我记账小工具，有很大提升！！非常跟手！！有它才叫NOTE\n外形外观：圆角世界的直角&ldquo;异类&rdquo;\n屏幕音效：屏幕无敌（除了不能120HZ，2K同开）\n拍照效果：中规中矩\n运行速度：12G，oneUI4.0有给了4g虚拟运存\n待机时间：当备用机使用时间不多，还不错，没有重度使用。,5
2,屏幕音效：屏幕没话说，都知道三星的屏幕非常nice，质感完全碾压部分机型，不点名以示尊重，\n拍照效果：目前拍照的像素感觉不太清晰，不知道是不是自己不会调，反正录视频UHD 和FHD都非常的不错\n运行速度：12GB的运行内存，我每次查看都是3GB不知道是不是自己没找对位置哈哈\n外形外观：我选择的迷雾金，因为看起来非常有质感，有高级感\n，我是从iPhone12转入三星的，因为之前用过三星 所以还是选择三星，我买东西跟爱国情怀是分开，追求性价比，不要被道德绑架，毕竟钱是自己的，选择权也是由自己决定。,5
2,照相方面比之前买的s20u强不少呢，电池也很给力，高度使用也能坚持坚持一天，后盖换成铝合金材质、比玻璃材质实用性要高很多。手写笔也很方便，一如既往的、三星note系列确实比s系列玩着爽，屏幕也大一些。,5
2,note20设计的很漂觉的，轻薄的外形，拿在手上很舒服的，中间打孔屏幕比较好看，本人喜欢中间打孔的手机，还有微微曲的屏幕看着舒服，三星屏幕真的是特别特别好，眼睛看着很舒服的，对三星的屏幕特别满意。双扬声器很nice对这款手机拍照还是比较满意的，对焦速度很快的，就是光学变焦再大点就更好了，手机运行速度很快的，手机很流畅的待机时间还可以的，还有分屏功能很实用的，可以在一个屏幕上打开几个APP对此特别满意。,5
2,手机收到用了几天才来评价的，这款手机我关注几个月了，年前不是疫情应响，年前都入手了，手机用了几天没让我失望，特别是屏幕细腻，清晰度那是真高，还有超高的像素，系统还算流畅，还有更炫酷的功能，总的来说是一款很不错的产品，更有快递小哥的热情服务衬托着，更快的自家物流。,5
2,连续用了两代苹果，已毫无新鲜感，是时候换部三星体验一下全新的感觉了，工业设计一流，外观硬朗大气，绝对符合我的审美，很久没用过安卓系统了希望软件不会让我失望。,5
2,外形外观：非常不错，可以好好折腾一段时间\n屏幕音效：很喜欢，喜欢好久了，终于买了\n拍照效果：前摄像头自带美颜磨皮，大老爷们用的挺不习惯的，拍照是真的清晰啊。真心不错\n运行速度：非常快，比起我的旧手机真的没的说\n待机时间：非常省电，到下午还有70%这个是我比较满意的\n其他特色：赠送的耳机很帅，两个腰子一样。哈哈哈哈。音质不错,5
2,外形外观：外观设计非常大气上档次\n屏幕音效：音效非常棒哦\n拍照效果：三星手机的拍照不用说非常完美哦\n运行速度：速度杠杠滴\n待机时间：待机一天没有问题\n买来当作备用机的，非常喜欢，屏幕比之前的N10好多了！拍照一流，屏幕顶级，不愧是机皇。京东的快递小哥非常的给力呀。京东商城网购就是放心啊！非常满意哦。,5
3,三星忠实粉，关注这款机型很久了，活动价直接入手。运行速度快，拍照效果杠杠的，不愧是旗舰机皇芯，充满电待机一天时间还是不错的。,5
3,外形外观：真的是很可以的一款手机，外形简直太帅了呢\n屏幕音效：屏幕没得说，高刷很流畅\n拍照效果：拍照很不错的，录视频的8k也很新颖\n运行速度：那太快了，无卡顿\n待机时间：一天重度使用的话，冲两次吧\n其他特色：外形太帅了，note的外形太吸引我了。还有很多特色，待我慢慢发现吧,5
3,外形外观：外观很酷炫，尤其是手机的正面，屏幕方正又等窄，光滑又细腻。后部的摄像头也很有质感，在各种光影环境下看起来用起来都很棒。\n屏幕音效：用这个听音乐，声音灵动而悦耳，环绕感比较强烈。\n拍照效果：拍照效果本就是这款手机的一大杀器，使用起来果然如此，分辨率高，滤镜多样，还可以大倍率拉近。\n运行速度：速度快，其UI设计也很便捷灵巧，比如多屏操作或者APP间的快速切换。,5
3,外形外观：方方正正，屏幕超级大，用着非常舒服，而且质感非常的强\n屏幕音效：屏幕没的说，三星的屏幕确实是不错的\n拍照效果：拍照清晰，离得远也能拍的清，但是微距拍的不行，不清晰\n运行速度：速度丝滑，很快，不卡。\n待机时间：我一天充三次\n其他特色：笔很有特色,5
3,外形外观：颜值无敌\n屏幕音效：屏幕触感很好，120Hz高刷用完就回不去了\n拍照效果：效果给力，1亿像素\n运行速度：丝滑感受,5
3,外形外观：外观方正，两侧屏幕曲线\n屏幕音效：屏幕显示很好，色彩鲜艳，\n拍照效果：拍照很好，晚上也很好\n运行速度：运行速度很快，系统流畅，12G的运行空间\n待机时间：待机中规中矩，正常使用一天也差不多\n其他特色：刚拿到手机真的大，使用一会在用别的手机感觉像是玩具，但是屏幕显示是真的爽，用过就不想用别的手机了，为什么滑动屏幕两侧没有返回功能呢？希望三星能解决一下,5
3,电确实掉的快，颜值也是真的好高，距离我上次用三星s8+已经好久了，这是我的第三个三星手机。用了别的品牌之后，再看三星，有点受不了它的高饱和度了，好在还可以调成自然模式，会不那么刺眼。还有拍照也没有想象中清晰，感觉糊。不过颜值真是太高了，我太喜欢了，这个金色和我想象中不一样，是暗粉金色，很有质感很高级啦~图二是室内有阳光拍的，图三是晚上室内灯照拍的。特别强调，原厂膜真的很好用，几乎不粘指纹，很丝滑，很贴合！千万别撕！还有就是原厂壳好用，正面高于屏幕背面高于摄像头，保护性贼强！,5
3,从note8换到note20。是note的忠粉！最新的865+处理器，一流的摄像头，一直在线的颜值，都是我入手的核心点。\n我选的迷雾金，很骚气！暗光下沉稳气息，日光下又沙金色彩。外壳磨砂玻璃手感很棒，也相对于黑白色更防指纹，颜值超能打。白色和黑色其实也可以，就看个人喜好。\n运行速度快，屏幕大，加上高灵敏的触控，非常优秀。就是摄像头是真的激凸，戴上壳之后还是不平。,5
3,手机非常好用     对比13p已经喜欢上用s20u了。手感好，屏幕通透，舒服快！\n运行速度：不玩游戏很快\n拍照效果：非常不错\n外形外观：手感好\n屏幕音效：通透,5
3,外形外观：很有质感的磨砂背面，玫瑰金高大上。摸起来有沙沙的磨砂声，感觉很棒。圆弧的四周和超大的屏幕。没有home键。\n屏幕音效：影响应该是在手机的圆弧屏幕四周。循环效果很立体。\n拍照效果：超过2亿的相机技术。拍照很清晰。但目前还没有研究明白更多技术拍照的方法\n其他特色：手感很好。大小适中,5
4,外形外观：漂亮，特别是正面的屏幕惊艳。就是后摄像头突出太多了，我是对拍张要求不高，如果摄像头模组做平的话，我给满分。\n屏幕音效：屏幕太高了，看了很舒服，音响还行吧，声音挺大的。\n拍照效果：对拍照没什么要求，感觉还行。\n运行速度：速度太快了，特别是高刷。\n待机时间：挺满意的，一天一冲。以前用过s4，s7，n3。都是电池不耐用，所以好几年没买三星手机了，这次看这个机器颜值实在是喜欢，价格也合适，几天忍不住入手了。,5
4,外形外观：外观一如既往的，干练商务范，符合note系列的风格\n屏幕音效：屏幕更是一如既往的惊艳，这一点没得挑\n拍照效果：拍照效果现在还没研好但是，1亿像素真是可以的，很远的距离还是可以拍摄清楚\n运行速度：运行速度，新手机必须快特别快\n待机时间：待机时间还可以吧，能满足一天正常使用需求特色方面个人觉得都是挺完美的期待更好的作品。,5
4,三星旗舰手机，直角屏幕设计很漂亮，现在已经找不到直角屏手机了，全是大圆角。屏幕非常优秀，手机运行流畅。,5
4,一直使用三星，也用了二十多年了。比较喜欢三星的功能，更是喜欢note系列。前两年换了部n7，刚玩熟，结果由于电池的缘故，被召回了。又换了部s7edge一直使用到现在。对于这部手机，观望了很久，价格有点小贵，虽然心疼还是果断入手！手感非常好，功能和颜值太强大了，拍照那更是没的说，典型的商务机型，很多功能还有待于研究研究,5
4,拿到手后立马打开，哇哦，这款手机确实够惊艳\n快递也快的很\n外形外观：性感\n拍照效果：牛批\n运行速度：super faster\n待机时间：这个还没具体研究\n其他特色：牛批克拉斯\n屏幕音效：这个声音够厉害,5
4,真的是非常nice的一款手机啊。终于用上了心念的三星Note系列，就喜欢这种方方正正的设计，搭配迷雾金很大气。屏幕很大，超爱大屏幕。神仙S Pen超好用，865+处理器很流畅。最重要的是屏幕，分辨率很高，真的爱了，不愧是安卓机皇。手里的S10可以退役了。喜欢三星，以后还会支持三星，爱你????,5
4,刚入手，手感非常棒，先用着几天，摸索摸索具体功能吧，第一次总三星手机，一直在用vivo，现在vivo不出旗舰机了，只有买三星了，不过确实不错。,5
4,支付安全提醒无法关闭，来电铃声无法改为渐强，三星真让人失望啊,5
4,使用几天后总体感觉比S20U略强，比S20U轻一点，屏幕大点，拍照效果不分胜负，待机比S20U略差些，但也可以接受！总体不错，推荐购买！,5
4,十多年了，一直都是用三星手机，做工精细，屏幕无敌，款式好看，性能强大，系统也不错！实在是回不去了，这款手机清仓降价了，还是挺合适的。物流很快，信赖京东自营就入手了！,5
5,外形外观：第一天上手 外观老婆小姨子都说特别大气\n屏幕音效：屏幕没法说真的好 音效可以的 声音也大\n拍照效果：比较不错\n运行速度：快\n待机时间：一般\n其他特色：这个笔真的适合商务人士,5
5,手机外观非常漂亮，曲线感十分强烈，看到第一眼就被吸引了，三星屏幕分辨率确实高，刷视频看电影流畅度清晰度非常高，并且配送充电器和耳机，使用感非常好,5
5,一直用三星S系列  这次换个N   确实比S看着高级点 屏幕也很好 手感各方面都不错  一定要买大版的手感才好。笔也好用就是用的少 装,5
5,外形外观：我喜欢的较为方正的外形，单手操作有点大\n屏幕音效：最靓的显示屏，耳机也不错\n拍照效果：看中一亿像素，其实没有想象那么好。但是比较手机相机的话已经很好了，夜景非常不错。\n运行速度：安卓运行都这样，前期完美，后期大概要换机。\n待机时间：很不错的待机，重度操作都可以。\n其他特色：虽然以前用过note5，现在还是不大会运用那只笔。,5
5,虽然远隔千山，但物流安排的很紧凑，按时收到。打开后，一切都好，用起来流畅。,5
5,"种草很久，还是由Galaxy Note10+5G换了这款Galaxy Note20 Ultra。外观上， 这款迷雾金版本的三星Galaxy Note20 Ultra采用大家熟悉的AG玻璃工艺打造， 磨砂手感很舒适， 不沾指纹又很上档次。 虽然机身重达208g, 但是手机配重调整得很好，握 \n感很安逸， 拿在手上还以为仅是一款180g左右的轻薄手机， 如此体验不愧是世界大厂出品的旗舰手机。 它有着业内最优秀的显示屏，以及搭配目前最强悍的高通骁龙865+处理器，拥有一支全新升级的智能S Pen，并且支持双模5G。颜值担当又同时性能强劲，鱼和熊掌兼得。该机价格最近新低，推荐购买。京东送货安全又快。十分好评。",5
5,双11买的，价格香的一比。屏幕很大，自适应120赫兹非常舒服。拍照能力很强。图4是完全天黑拍的，像白天一样。spen的可玩性也很高，更多功能还在探索中。,5
5,这屏幕虽然是上一代，但是显示效果依然可以吹爆！拍照对焦也是超快。对于不玩游戏的人，这打骨折的价真心性价比高！,5
5,外形外观：外观中规中矩，很有商务的庄重感，适合成熟稳重人士。\n屏幕音效：说实话买这个手机就是冲着他的屏幕去的，确很惊艳，显示很温和细腻。\n拍照效果：拍照很清晰，对得住这个配置，不亏是旗舰机。\n运行速度：12G内存加上865CPU性能达到了巅峰，对付目前的软件运行完全何无压力。,5
5,外形外观：不错。\n屏幕音效：很好。\n拍照效果：很强大。\n运行速度：速度还是可以的。\n待机时间：可以。\n其他特色：充电器功率小了点，速度慢，方正的屏幕是我喜欢的，眼睛敏感的要考虑好了再下单。,5
6,以前用过note 9，这次用Note 20，手机手感挺好的，屏幕很清晰，很鲜艳，其实喜欢的就是它的外表跟屏幕，体验效果过段时间再看。,5
6,外形外观：外观非常漂亮，颜色非常正，大爱\n运行速度：运行速度非常快，毕竟12G的内存\n\n待机时间：待机时间还能接受，平时电话多，用的时间短正常\n拍照效果：拍照效果非常棒,5
6,外形外观：颜值是真的靓\n屏幕音效：音质佳\n拍照效果：拍照相素太好了，清晰鲜艳\n运行速度：暂时玩了一盘吃鸡，流畅\n待机时间：不清楚\n其他特色：和旧三星一起传输文件好快！用过S8+和NOTE8，总的来说感觉note系列更板正，喜欢,5
6,外形外观：方方正正有棱有角 大气\n屏幕音效：用了之后就回不去了\n拍照效果：中规中矩 没有很好也差不到哪里去\n运行速度：非常快 高刷yyds\n待机时间：比之前的s21待机长 不过还没到很满意的程度\n其他特色：s pen 绝对的王者 玩法很多,5
6,外形外观：商务，方正，质感好。\n拍照效果：还不错。\n屏幕音效：完美无瑕。\n运行速度：溜溜的快。\n待机时间：有待验证。\n其他特色：理想机型。,5
6,外形外观：颜值在线，全面屏，很好用\n屏幕音效：屏幕是顶级的\n拍照效果：效果很不错，非常清晰\n运行速度：运行速度很快，没有卡顿\n待机时间：电池容量足够的大了，就是充电速度一般般，不够快,5
6,外形外观：好看\n屏幕音效：特别棒\n拍照效果：1亿像素，夜景，人像都很好\n运行速度：非常快\n待机时间：待机时间：真的一般般，用电挺快\n其他特色：s-pen很不错，方便好用,5
6,我还是头一次用三星的智能手机，在很久以前的时代用过三星的手机，但那时不存在Smart phone。苹果啊，华为呀，VIVO等等，各样都用过，还没有用过三星，于是就买来用用看。不错不错。感觉探***。初步体验很好。如，三星笔记很好用呢。,5
6,功能强大、用于移动办公没问题！系统优化得很下错，总之好用，适合商务。,5
6,一直在用三星前世机皇S8 plus，快五年了，系统运行一直稳定快捷，性能无可挑剔，但是年头久了，电池衰减，听筒老化，也出现了烧屏，是该让他颐养天年了。因为我手机更换不频繁，所以更倾向买一部性能更稳定的中高端机，比较了同类型产品，note20虽然是面世快两年的产品，但无论外观设计、配置性能都不落伍，仍然一线梯队，对于**常使用也是绰绰有余，而且拍照功能也一直是三星的强项，所以果断出手，另外一点，20是note系列的绝唱了，现在价格也优惠了不少，还是很值得入手的。详细感受再追评吧，反正开箱已经很惊艳了，完美！！！！！,5
7,手机屏幕很好，画面很漂亮、很高清。功能还在熟悉中。整体来说，三星的质量还是不错。希望不会出现什么问题。手机造型很大气，很适合商用。感觉很干净，非常商务。,5
7,手机屏幕大、显示效果细腻，很赞；相机像素很高，拍照清晰，可射月；相对现在发布的新手机充电速度略慢，电池掉电快，不如上个华为的手机有安全感，但中度使用一天无压力。速度快，颜值高，手感好，非常喜欢！,5
7,收到，非常不错。给家里买的，自己用着Mate40Pro觉得屏幕不是很好所以买三星，现在的安卓系统也好用了。京东自营各方面都不错，Note20U综合实力各方面都不错，还有一支手写笔很有特色。听说是三星最后一款带手写笔的，是不是不确定。但是手写笔真的不错&hellip;&hellip;,5
7,Note 20U的综合体验实在太棒了，照出的照片也很通透。左边是本机，右边是华为Mate40 Pro。除了充电速度和鸿蒙的生态链接外，其它方面体验优于Mate 40Pro。特别是屏幕素质确实顶尖，明显高于华为的大部分旗舰。三星这款是微曲面屏，体验也比Mate 40 Pro 88度瀑布屏好。信号通信的话理论上华为更强，但实际使用没有太明显差别。安卓一般都不错，不像苹果那样群得明显。同样是256G的比华为Mate 40Pro还便宜一千多，还有手写笔。性价比高，值得推荐&hellip;&hellip;,5
7,非常喜欢的产品，本次双十一力度很大，值得入手。不亏安卓机皇。使用几天，优点是屏幕好看着舒适。电量也不错，工作用，使用频率不高，一天充电一次足够。,5
7,一直使用三星旗舰机型，没有碰到很多不使用三星手机的人说的卡机问题，三星一定要用旗舰机型。使用一段时间了才来评价，N20U外观大气上档次，商务范，屏幕确实有点大，显示超级细腻，拍照效果杠杠的，超薄，电池容量适中，重量控制得很好，虽是去年旗舰，运行都很赞，活动价，开心,5
7,三星老用户了，质量确实不错，屏幕、系统都非常好，摄像清晰，音质浑厚，有机会再入手一台!,5
7,外形外观：大气质感很好\n拍照效果：拍出来色彩鲜艳\n运行速度：丝滑流畅,5
7,才买十天就降价了，还没价保！东哥你太过分了！,5
